epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,100.968,0.9183,0.72103,1.17054,0.97173,0.97436,0.99333,0.74696,1.07568,0.52692,1.26601,0.000906517,0.000906517,0.000906517
162,101.547,1.04864,0.77516,1.22759,0.98493,0.97298,0.99333,0.73352,1.09881,0.53099,1.28564,0.000896212,0.000896212,0.000896212
163,102.127,0.95338,0.69245,1.15909,0.98493,0.97298,0.99333,0.73352,1.09881,0.53099,1.28564,0.00088592,0.00088592,0.00088592
164,102.803,0.93742,0.6965,1.15291,0.95701,0.97466,0.99333,0.74002,1.113,0.52876,1.29639,0.000875642,0.000875642,0.000875642
165,103.371,0.95965,0.67401,1.1451,0.95599,0.97519,0.99333,0.74996,1.10857,0.52668,1.29265,0.000865378,0.000865378,0.000865378
166,103.935,0.92095,0.6448,1.11418,0.97551,0.97436,0.99189,0.75264,1.06952,0.51351,1.26463,0.00085513,0.00085513,0.00085513
167,104.516,0.963,0.67992,1.1697,0.97551,0.97436,0.99189,0.75264,1.06952,0.51351,1.26463,0.000844899,0.000844899,0.000844899
168,105.133,0.94522,0.69627,1.12162,0.97138,0.97436,0.99189,0.7528,1.06442,0.50749,1.25289,0.000834686,0.000834686,0.000834686
169,105.704,0.99543,0.69329,1.20499,0.97179,0.97436,0.99189,0.74198,1.07667,0.50998,1.26217,0.000824492,0.000824492,0.000824492
170,106.29,0.9361,0.67776,1.16564,0.97033,0.97436,0.99333,0.73997,1.08686,0.51831,1.27146,0.000814319,0.000814319,0.000814319
171,106.871,0.90212,0.70419,1.11979,0.97033,0.97436,0.99333,0.73997,1.08686,0.51831,1.27146,0.000804167,0.000804167,0.000804167
172,107.558,1.1129,0.81958,1.24823,0.97478,0.97436,0.99189,0.75048,1.10188,0.5223,1.28366,0.000794038,0.000794038,0.000794038
173,108.117,1.08561,0.75547,1.26309,0.97864,0.97436,0.99189,0.76909,1.08313,0.52058,1.25998,0.000783933,0.000783933,0.000783933
174,108.714,1.07855,0.78563,1.2132,0.97323,0.97436,0.99189,0.77355,1.05644,0.51364,1.23475,0.000773852,0.000773852,0.000773852
175,109.288,0.99097,0.77817,1.19976,0.97323,0.97436,0.99189,0.77355,1.05644,0.51364,1.23475,0.000763797,0.000763797,0.000763797
176,109.879,0.96564,0.66708,1.16765,0.9669,0.97436,0.99189,0.76748,1.04516,0.50908,1.21492,0.000753769,0.000753769,0.000753769
